Halobacterium sp. NRC-1, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
TrpE2 	297545	299011	+	488	15789638	1447247	trpE2	VNG0384G	COG0147EH
anthranilate synthase beta chain 	299008	299583	+	191	16554468	1449020	trpG2	VNG0386Gm	COG0512EH
IlvE1 	299568	300425	+	285	15789640	1447248	ilvE1	VNG0387G	COG0115EH
hypothetical protein VNG0388C 	300471	300941	+	156	15789641	1447249	-	VNG0388C	COG2146PR
hypothetical protein VNG0389C 	300938	301228	-	96	15789642	1447250	-	VNG0389C	COG3357K
GraD1 	301248	302276	+	342	15789643	1447251	graD1	VNG0390G	COG1208MJ
hypothetical protein VNG0391C 	302277	302999	-	240	15789644	1447252	-	VNG0391C	COG2102R
hypothetical protein VNG0393C 	303046	304194	-	382	15789645	1447253	-	VNG0393C	COG2237S
hypothetical protein VNG0394C 	304268	305170	-	300	15789646	1447254	-	VNG0394C	COG1340S
hypothetical protein VNG0396C 	305431	305844	+	137	15789647	1447255	-	VNG0396C	COG2090S
NthA1 	305902	306699	+	265	15789648	1447256	nthA1	VNG0398G	COG0177L
hypothetical protein VNG0399H 	306701	307168	-	155	15789649	1447257	-	VNG0399H	-
Epf2 	307290	309215	-	641	15789650	1447258	epf2	VNG0401G	COG1782R
hypothetical protein VNG0402H 	309533	309685	-	50	15789651	1447259	-	VNG0402H	-
prolyl-tRNA synthetase 	309807	311312	+	501	161349985	1447260	proS	VNG0403G	COG0442J
hypothetical protein VNG0404H 	311391	311921	+	176	15789653	1447261	-	VNG0404H	-
hypothetical protein VNG0405C 	311957	312946	+	329	15789654	1447262	-	VNG0405C	COG0451MG
hypothetical protein VNG0406C 	313105	314163	+	352	15789655	1447263	egsA	VNG0406C	COG0371C
hypothetical protein VNG0407H 	314156	314971	-	271	15789656	1447264	-	VNG0407H	-
hypothetical protein VNG0408H 	315206	316276	-	356	15789657	1447265	-	VNG0408H	-
hypothetical protein VNG0409C 	316309	318105	-	598	15789658	1447266	-	VNG0409C	COG1506E
LPS biosynthesis 	318208	319275	+	355	15789659	1447267	rfbU2	VNG0410G	COG0438M
hypothetical protein VNG0412G 	319297	321744	-	815	15789660	1447268	folP	VNG0412G	COG0285H
hypothetical protein VNG0414G 	321793	323580	-	595	15789661	1447269	purH	VNG0414G	COG0138F
adenylosuccinate lyase 	323468	324955	+	495	15789662	1447270	purB	VNG0415G	COG0015F
hypothetical protein VNG0417H 	325020	325661	+	213	15789663	1447271	-	VNG0417H	COG2129R
hypothetical protein VNG0419C 	325698	326195	+	165	15789664	1447272	-	VNG0419C	COG1432S
hypothetical protein VNG0420H 	326196	326384	-	62	15789665	1447273	-	VNG0420H	-
hypothetical protein VNG0421C 	326468	326947	+	159	15789666	1447274	-	VNG0421C	COG1370O
Cyc 	326955	328172	-	405	15789667	1447275	cyc	VNG0422G	COG2124Q
nascent polypeptide-associated complex protein 	328415	328807	+	130	15789668	1447276	nac	VNG0424C	COG1308K
L-isoaspartyl protein carboxyl methyltransferase 	328807	329523	+	238	15789669	1447277	pimT2	VNG0425G	COG2519J
DNA-directed RNA-polymerase subunit M 	329653	329967	-	104	15789670	1447278	rpoM	VNG0426G	COG1594K
YfmO2 	330079	331341	+	420	15789671	1447279	yfmO2	VNG0427G	COG2814G
Fad2 	331342	332112	-	256	15789672	1447280	fad2	VNG0428G	COG1024I
hypothetical protein VNG0429H 	332196	332681	+	161	15789673	1447281	-	VNG0429H	-
hypothetical protein VNG0430H 	332688	333338	-	216	15789674	1447282	-	VNG0430H	-
Apa 	333816	334244	-	142	15789675	1447283	apa	VNG0431G	COG0494LR
hypothetical protein VNG0433C 	334368	334703	+	111	15789676	1447284	-	VNG0433C	COG0051J
hypothetical protein VNG0435H 	334798	335064	-	88	15789677	1447285	-	VNG0435H	-
Na+/H+ antiporter 	335061	336626	-	521	15789678	1447286	nhaC1	VNG0436G	COG1757C
hypothetical protein VNG0437C 	336723	338003	+	426	15789679	1447287	-	VNG0437C	COG1473R
hypothetical protein VNG0439C 	338014	339384	-	456	15789680	1447288	-	VNG0439C	COG0644C
FerA3 	339490	339819	+	109	15789681	1447289	ferA3	VNG0438G	COG0633C
hypothetical protein VNG0440C 	339822	340952	-	376	15789682	1447290	-	VNG0440C	COG0491R
hypothetical protein VNG0441H 	341012	341647	+	211	15789683	1447291	-	VNG0441H	-
hypothetical protein VNG0442G 	341670	342908	-	412	15789684	1447292	rspA	VNG0442G	COG4948MR
hypothetical protein VNG0444G 	342946	343887	-	313	15789685	1447293	dapA	VNG0444G	COG0329EM
hypothetical protein VNG0447H 	343909	345117	-	402	15789686	1447294	-	VNG0447H	COG0561R
Gcd 	345205	346275	+	356	15789687	1447295	gcd	VNG0446G	COG1063ER
orotate phosphoribosyltransferase 	346272	346910	+	212	15789688	1447296	pyrE1	VNG0448G	COG0856F
hypothetical protein VNG0450C 	346978	347355	+	125	15789689	1447297	-	VNG0450C	COG0278O
hypothetical protein VNG0451G 	347367	347990	-	207	15789690	1447298	phoU	VNG0451G	COG0704P
hypothetical protein VNG0452G 	348053	348898	-	281	15789691	1447299	pstB2	VNG0452G	COG1117P
PstA2 	348905	350605	-	566	15789692	1447300	pstA2	VNG0453G	COG0581P
PstC2 	350607	351566	-	319	15789693	1447301	pstC2	VNG0455G	COG0573P
PhoX 	351622	352656	-	344	15789694	1447302	phoX	VNG0457G	COG0226P
Prp1 	352883	353887	+	334	15789695	1447303	prp1	VNG0458G	COG0704P
NodP 	353960	354931	+	323	15789696	1447304	nodP	VNG0459G	COG0175EH
AspS 	355258	356568	+	436	15789697	1447305	aspS	VNG0461G	COG0017J
hypothetical protein VNG0462C 	356605	356889	-	94	15789698	1447306	-	VNG0462C	COG1846K
hypothetical protein VNG0463C 	356891	357508	-	205	15789699	1447307	-	VNG0463C	-
copper transport ATP-binding protein 	357501	358391	-	296	16554469	1449021	nosF2	VNG0465Gm	COG1131V
hypothetical protein VNG0466C 	358388	359239	-	283	15789701	1447308	-	VNG0466C	-
YafB 	359388	360221	-	277	15789702	1447309	yafB	VNG0467G	COG0656R
hypothetical protein VNG0468C 	360279	361511	-	410	15789703	1447310	-	VNG0468C	COG0644C
hypothetical protein VNG0469H 	361705	363387	-	560	15789704	1447311	-	VNG0469H	-
Trp3 	363359	364117	-	252	15789705	1447312	trp3	VNG0470G	COG1131V
hypothetical protein VNG0471C 	364276	364476	-	66	15789706	1447313	-	VNG0471C	COG1476K
hypothetical protein VNG0472H 	364473	364889	-	138	15789707	1447314	-	VNG0472H	-
2-oxoglutarate ferredoxin oxidoreductase subunit beta 	365304	366173	-	289	15789708	1447315	porB	VNG0473G	COG1013C
hypothetical protein VNG0474G 	366170	367918	-	582	15789709	1447316	porA	VNG0474G	COG0674C
hypothetical protein VNG0475C 	368167	368811	+	214	15789710	1447317	-	VNG0475C	COG1018C
NTP pyrophosphohydrolase 	369003	369404	+	133	16554470	1449022	-	VNG0475a	COG1051F
hypothetical protein VNG0478C 	369409	369825	-	138	15789711	1447318	-	VNG0478C	COG3185ER
YajO1 	369837	370787	-	316	15789712	1447319	yajO1	VNG0479G	COG1028IQR
McmA1 	370841	372802	-	653	15789713	1447320	mcmA1	VNG0481G	COG1884I
hypothetical protein VNG0482H 	372939	373508	-	189	15789714	1447321	-	VNG0482H	COG1246E
hypothetical protein VNG0483C 	373577	374761	-	394	15789715	1447322	-	VNG0483C	COG2834M
Acs1 	374853	376823	+	656	15789716	1447323	acs1	VNG0484G	COG0365I
hypothetical protein VNG0485H 	376820	377209	-	129	15789717	1447324	-	VNG0485H	-
Hat1 	377233	377808	-	191	15789718	1447325	hat1	VNG0486G	COG1670J
hypothetical protein VNG0487H 	377808	378581	-	257	15789719	1447326	-	VNG0487H	COG1670J
hypothetical protein VNG0488H 	378529	379233	-	234	15789720	1447327	-	VNG0488H	COG0318IQ
hypothetical protein VNG0489G 	379302	380477	-	391	15789721	1447328	dnaJ	VNG0489G	COG0484O
hypothetical protein VNG0491G 	380553	382442	-	629	15789722	1447329	dnaK	VNG0491G	COG0443O
hypothetical protein VNG0492H 	382599	383294	-	231	15789723	1447330	-	VNG0492H	COG3208Q
hypothetical protein VNG0494G 	383334	383987	-	217	15789724	1447331	grpE	VNG0494G	COG0576O
hypothetical protein VNG0496H 	384063	384446	-	127	15789725	1447332	-	VNG0496H	-
hypothetical protein VNG0498C 	384499	385005	-	168	15789726	1447333	-	VNG0498C	-
Cna 	385002	385913	-	303	15789727	1447334	cna	VNG0499G	COG0144J
3-isopropylmalate dehydratase 	386009	386755	+	248	15789728	1447335	ppd	VNG0500G	COG1938R
YfmO1 	386766	388004	-	412	15789729	1447336	yfmO1	VNG0501G	COG2814G
AspB1 	388169	389290	+	373	15789730	1447337	aspB1	VNG0502G	COG0436E
hypothetical protein VNG0503C 	389355	390143	+	262	15789731	1447338	-	VNG0503C	COG2226H
translation-associated GTPase 	390140	391321	-	393	15789732	1447339	gbp5	VNG0504G	COG0012J
hypothetical protein VNG0505C 	391432	392532	+	366	15789733	1447340	-	VNG0505C	COG1253R
hypothetical protein VNG0506H 	392529	392660	-	43	15789734	1447341	-	VNG0506H	-
hypothetical protein VNG0507C 	392861	393733	-	290	15789735	1447342	-	VNG0507C	COG4801R
hypothetical protein VNG0508H 	393802	393999	+	65	15789736	1447343	-	VNG0508H	-
hypothetical protein VNG0509H 	394049	394186	+	45	15789737	1447344	-	VNG0509H	-
proteasome-activating nucleotidase 	394230	395336	-	368	15789738	1447345	prrIV2	VNG0510G	COG1222O
hypothetical protein VNG0511H 	395657	395887	+	76	15789739	1447346	-	VNG0511H	-
DNA double-strand break repair protein 	395945	397108	+	387	15789740	1447347	ppe	VNG0512G	COG0420L
chromosome segregation protein 	397105	399756	+	883	15789741	1447348	-	VNG0514C	COG0419L
hypothetical protein VNG0516H 	399808	400059	+	83	15789742	1447349	-	VNG0516H	-
hypothetical protein VNG0518H 	400501	400614	-	37	15789743	1447350	-	VNG0518H	-
hypothetical protein VNG0520H 	400823	401008	-	61	15789744	1447351	-	VNG0520H	-
DNA polymerase B1 	401122	403827	+	901	15789745	1447352	polB1	VNG0521G	COG0417L
Inb 	403843	404586	-	247	15789746	1447353	inb	VNG0523G	COG4221R
ABC transporter, ATP-binding protein 	404888	405814	+	308	15789747	1447354	yurY	VNG0524G	COG0396O
hypothetical protein VNG0525C 	405851	407275	+	474	15789748	1447355	-	VNG0525C	COG0719O
hypothetical protein VNG0527C 	407277	408491	+	404	15789749	1447356	-	VNG0527C	COG0719O
hypothetical protein VNG0529H 	408654	409160	-	168	15789750	1447357	-	VNG0529H	-
hypothetical protein VNG0530G 	409159	409593	+	144	15789751	1447358	troR	VNG0530G	COG1321K
hypothetical protein VNG0532H 	410039	410416	-	125	15789752	1447360	-	VNG0532H	-
hypothetical protein VNG0533H 	410415	411128	+	237	15789753	1447361	-	VNG0533H	COG2013S
hypothetical protein VNG0534C 	411371	412003	+	210	15789754	1447362	-	VNG0534C	COG1418R
hypothetical protein VNG0535C 	412027	412317	-	96	15789755	1447363	-	VNG0535C	COG2119S
SirR 	412713	413414	-	233	15789756	1447364	sirR	VNG0536G	COG1321K
hypothetical protein VNG0537C 	413539	416253	-	904	15789757	1447365	-	VNG0537C	COG4666R
hypothetical protein VNG0539C 	416246	416737	-	163	15789758	1447366	-	VNG0539C	COG4729S
hypothetical protein VNG0540G 	416799	417755	-	318	15789759	1447367	imp	VNG0540G	COG2358R
hypothetical protein VNG0541G 	417903	419099	-	398	15789760	1447368	thrC2	VNG0541G	COG0498E
hypothetical protein VNG0542C 	419196	420488	+	430	15789761	1447369	-	VNG0542C	COG1233Q
hypothetical protein VNG0543H 	420476	420874	-	132	15789762	1447370	-	VNG0543H	COG1407R
hypothetical protein VNG0544H 	421208	421615	+	135	15789763	1447371	-	VNG0544H	-
hypothetical protein VNG0546C 	421905	422657	-	250	15789764	1447372	-	VNG0546C	COG2047R
H/ACA RNA-protein complex component Nop10p 	422662	422844	-	60	15789765	1447373	-	VNG0548C	COG2260J
translation initiation factor IF-2 subunit alpha 	422844	423647	-	267	15789766	1447374	eif2a	VNG0549G	COG1093J
30S ribosomal protein S27e 	423644	423817	-	57	15789767	1447375	rps27e	VNG0550G	COG2051J
50S ribosomal protein L44E 	423822	424007	-	61	15789768	1447376	rpl44e	VNG0551G	COG1631J
hypothetical protein VNG0553C 	424253	425932	+	559	15789769	1447377	-	VNG0553C	-
hypothetical protein VNG0555C 	425790	428312	-	840	15789770	1447378	-	VNG0555C	COG5427S
Sgb 	428425	429981	+	518	15789771	1447379	sgb	VNG0556G	COG2244R
hypothetical protein VNG0557H 	430285	430965	-	226	15789772	1447381	-	VNG0557H	COG0693R
adenine phosphoribosyltransferase 	431034	431600	-	188	15789773	1447382	apt	VNG0559G	COG0503F
putative monovalent cation/H+ antiporter subunit D 	431659	433443	-	594	15789774	1447383	-	VNG0560C	COG0651CP
putative monovalent cation/H+ antiporter subunit D 	433440	435059	-	539	161349984	1447384	-	VNG0562C	COG0651CP
NADH dehydrogenase/oxidoreductase 	435056	436198	-	380	15789776	1447385	ndhG2	VNG0563G	COG0651CP
putative monovalent cation/H+ antiporter subunit C 	436530	436886	-	118	15789777	1447386	-	VNG0565C	COG1006P
putative monovalent cation/H+ antiporter subunit B 	436883	437350	-	155	15789778	1447387	-	VNG0564H	COG2111P
putative monovalent cation/H+ antiporter subunit B 	437347	437877	-	176	15789779	1447388	-	VNG0566C	COG2111P
putative monovalent cation/H+ antiporter subunit G 	437874	438200	-	108	16554471	1449023	mnhG	VNG0570Hm	COG1320P
putative monovalent cation/H+ antiporter subunit F 	438197	438472	-	91	161349983	1447389	-	VNG0568C	COG2212P
putative monovalent cation/H+ antiporter subunit E 	438469	439563	-	364	15789782	1447390	-	VNG0571C	COG1863P
hypothetical protein VNG0572G 	439733	440911	-	392	15789783	1447391	dfp	VNG0572G	COG0452H
hypothetical protein VNG0573C 	441519	442211	-	230	15789784	1447392	-	VNG0573C	COG3794C
hypothetical protein VNG0574C 	442210	442467	+	85	15789785	1447393	-	VNG0574C	COG4746S
YwaD 	442518	443819	+	433	15789786	1447394	ywaD	VNG0575G	COG2234R
hypothetical protein VNG0576C 	444303	444683	+	126	15789787	1447395	-	VNG0576C	COG0061G
hypothetical protein VNG0578H 	444728	445168	+	146	15789788	1447396	-	VNG0578H	-
hypothetical protein VNG0579H 	445263	445523	-	86	15789789	1447397	-	VNG0579H	-
hypothetical protein VNG0581H 	445516	445803	-	95	15789790	1447398	-	VNG0581H	-
hypothetical protein VNG0582C 	445897	446661	-	254	15789791	1447399	-	VNG0582C	COG1290C
Cyb 	446666	447478	-	270	15789792	1447400	cyb	VNG0583G	COG1290C
hypothetical protein VNG0584H 	447481	448311	-	276	15789793	1447401	-	VNG0584H	COG0723C
hypothetical protein VNG0585H 	448314	448700	-	128	15789794	1447402	-	VNG0585H	-
hypothetical protein VNG0586C 	448700	449389	-	229	15789795	1447403	-	VNG0586C	COG3794C
hypothetical protein VNG0587H 	449465	450376	-	303	15789796	1447404	-	VNG0587H	-
hypothetical protein VNG0590H 	450472	450960	+	162	15789797	1447405	-	VNG0590H	-
hypothetical protein VNG0591C 	450957	451601	-	214	15789798	1447406	-	VNG0591C	COG1777K
NthA2 	451701	452384	-	227	15789799	1447407	nthA2	VNG0592G	COG0177L
Dmd 	452465	453469	+	334	15789800	1447408	dmd	VNG0593G	COG3407I
hypothetical protein VNG0594H 	454135	454461	+	108	15789801	1447409	-	VNG0594H	-
hypothetical protein VNG0595H 	454472	455086	-	204	15789802	1447410	-	VNG0595H	COG0346E
hypothetical protein VNG0596H 	455876	456031	+	51	15789803	1447411	-	VNG0596H	-
hypothetical protein VNG0597H 	456082	456483	+	133	15789804	1447412	-	VNG0597H	-
hypothetical protein VNG0598C 	456480	457472	-	330	15789805	1447413	-	VNG0598C	COG0438M
hypothetical protein VNG0600C 	457591	458676	-	361	15789806	1447414	-	VNG0600C	COG0438M
hypothetical protein VNG0599C 	458746	459027	+	93	15789807	1447415	-	VNG0599C	COG2023J
hypothetical protein VNG0601H 	459075	459317	+	80	15789808	1447416	-	VNG0601H	COG1534J
hypothetical protein VNG0602C 	459333	459794	-	153	15789809	1447417	-	VNG0602C	COG0589T
hypothetical protein VNG0604H 	460447	460728	+	93	15789810	1447419	-	VNG0604H	-
YrhA 	460913	461737	+	274	15789811	1447420	yrhA	VNG0606G	COG0031E
hypothetical protein VNG0608C 	461747	462160	-	137	15789812	1447421	-	VNG0608C	COG1832R
hypothetical protein VNG0609C 	462193	462840	-	215	15789813	1447422	-	VNG0609C	COG0467T
prenyltransferase 	462955	463797	-	280	15789814	1447423	ubiA	VNG0610G	COG0382H
hypothetical protein VNG0611H 	464523	465503	+	326	15789815	1447425	-	VNG0611H	-
hypothetical protein VNG0612H 	466389	466583	-	64	15789816	1447426	-	VNG0612H	-
hypothetical protein VNG0613H 	466928	467362	-	144	15789817	1447427	-	VNG0613H	-
Htr16 	467390	469276	-	628	15789818	1447428	htr16	VNG0614G	COG0840NT
hypothetical protein VNG0615C 	469912	471549	-	545	15789819	1447429	-	VNG0615C	COG0569P
hypothetical protein VNG0617H 	471670	472527	-	285	15789820	1447430	-	VNG0617H	-
Edp 	472598	473500	-	300	15789821	1447431	edp	VNG0620G	COG0616OU
hypothetical protein VNG0622H 	473684	474712	-	342	15789822	1447432	-	VNG0622H	COG3380R
YngE 	474797	476572	+	591	15789823	1447433	yngE	VNG0623G	COG4799I
hypothetical protein VNG0624H 	476591	476920	-	109	15789824	1447434	-	VNG0624H	-
MaoC2 	477027	477500	-	157	15789825	1447435	maoC2	VNG0626G	COG2030I
hypothetical protein VNG0627G 	477499	478410	+	303	15789826	1447436	citE	VNG0627G	COG2301G
GdhA1 	478615	479733	+	372	15789827	1447437	gdhA1	VNG0628G	COG0334E
aspartate aminotransferase 	479857	480999	-	380	15789828	1447438	aspB2	VNG0629G	COG0436E
RibE 	480996	481397	-	133	15789829	1447439	ribH	VNG0630G	COG0054H
hypothetical protein VNG0631C 	481425	483239	+	604	15789830	1447440	-	VNG0631C	COG4745O
PurK 	483366	484460	+	364	15789831	1447441	purK	VNG0632G	COG0026F
hypothetical protein VNG0633G 	484457	485068	+	203	15789832	1447442	purE	VNG0633G	COG0041F
NADH dehydrogenase/oxidoreductase-like protein 	485194	485604	+	136	15789833	1447443	nolB	VNG0635G	COG0838C
NADH dehydrogenase/oxidoreductase 	485597	486304	+	235	15789834	1447444	ndhG1	VNG0636G	COG0377C
NADH dehydrogenase/oxidoreductase 	486301	487989	+	562	15789835	1447445	ndhG5	VNG0637G	COG0649C
NADH dehydrogenase/oxidoreductase 	488101	489045	+	314	15789836	1447446	ndhG4	VNG0639G	COG1005C
NADH dehydrogenase/oxidoreductase-like protein 	489042	489503	+	153	15789837	1447447	nolD	VNG0640G	COG1143C
NADH dehydrogenase subunit J 	489561	489821	+	86	15789838	1447448	-	VNG0641C	COG0839C
hypothetical protein VNG0642C 	489893	490126	+	77	15789839	1447449	-	VNG0642C	COG0839C
NADH dehydrogenase/oxidoreductase-like protein 	490126	490428	+	100	15789840	1447450	nolC	VNG0643G	COG0713C
F420H2:quinone oxidoreductase chain L 	490430	492508	+	692	15789841	1447451	nuoL	VNG0646G	COG1009CP
F420H2:quinone oxidoreductase chain M 	492509	494068	+	519	15789842	1447452	nuoM	VNG0647G	COG1008C
NADH dehydrogenase/oxidoreductase 	494341	495552	+	403	15789843	1447453	ndhG3	VNG0648G	COG1007C
hypothetical protein VNG0650C 	495620	497053	+	477	15789844	1447454	-	VNG0650C	COG0618R
Imd1 	497085	497903	+	272	15789845	1447455	imd1	VNG0651G	COG2239P
hypothetical protein VNG0652H 	498002	498151	+	49	15789846	1447456	-	VNG0652H	-
McmA1 	498404	499984	+	526	15789847	1447457	mcmA1	VNG0653G	COG1884I
hypothetical protein VNG0654C 	499989	500732	-	247	15789848	1447458	-	VNG0654C	COG0456R
hypothetical protein VNG0656H 	500787	501026	-	79	15789849	1447459	-	VNG0656H	-
CoxA2 	501272	503053	-	593	15789850	1447460	coxA2	VNG0657G	COG0843C
hypothetical protein VNG0659H 	503179	503406	-	75	15789851	1447461	-	VNG0659H	-
hypothetical protein VNG0660H 	503448	503834	-	128	15789852	1447462	-	VNG0660H	-
CoxC 	503953	504810	+	285	15789853	1447463	coxC	VNG0662G	COG1845C
BirL 	504860	505708	+	282	15789854	1447464	birL	VNG0664G	COG0340H
CoxB1 	505709	506476	-	255	15789855	1447465	coxB1	VNG0665G	COG1622C
CtaB 	506634	507962	+	442	15789856	1447466	ctaB	VNG0666G	COG0109O
ABC transporter ATP-binding protein 	507963	508619	+	218	15789857	1447467	trp4	VNG0667G	-
hypothetical protein VNG0668C 	508660	509556	+	298	15789858	1447468	-	VNG0668C	COG1131V
hypothetical protein VNG0669H 	509553	510302	+	249	15789859	1447469	-	VNG0669H	COG0842V
hypothetical protein VNG0670H 	510308	510787	-	159	15789860	1447470	-	VNG0670H	-
hypothetical protein VNG0671H 	510805	511413	-	202	15789861	1447471	-	VNG0671H	COG2322S
McmA2 	511535	511951	+	138	15789862	1447472	mcmA2	VNG0673G	COG2185I
hypothetical protein VNG0674C 	511953	512927	+	324	15789863	1447473	-	VNG0674C	COG1703E
hypothetical protein VNG0675C 	512985	513917	+	310	15789864	1447474	-	VNG0675C	-
hypothetical protein VNG0676C 	513894	514277	-	127	15789865	1447475	-	VNG0676C	COG1545R
3-ketoacyl-CoA thiolase 	514274	515461	-	395	15789866	1447476	acaB1	VNG0678G	COG0183I
hypothetical protein VNG0677H 	515503	515790	-	95	15789867	1447477	-	VNG0677H	-
Acd4 	515836	517029	-	397	15789868	1447478	acd4	VNG0679G	COG1960I
FdfT 	516984	518156	+	390	15789869	1447479	fdfT	VNG0680G	COG1562I
3-hydroxyacyl-CoA dehydrogenase 	518183	519043	-	286	15789870	1447480	hbd1	VNG0681G	COG1250I
hypothetical protein VNG0682C 	518991	519815	+	274	15789871	1447481	-	VNG0682C	-
hypothetical protein VNG0683C 	519914	520705	+	263	15789872	1447482	-	VNG0683C	COG1830G
fructose-1,6-bisphosphatase 	520705	521568	+	287	15789873	1447483	fbp	VNG0684G	COG0158G
hypothetical protein VNG0686C 	521594	522283	+	229	15789874	1447484	-	VNG0686C	COG2135S
hypothetical protein VNG0688H 	522644	523456	+	270	15789875	1447485	-	VNG0688H	-
ABC transporter, ATP-binding protein 	523515	524378	+	287	15789876	1447486	trp5	VNG0689G	COG1131V
hypothetical protein VNG0690C 	524375	526114	+	579	15789877	1447487	-	VNG0690C	COG1668CP
hypothetical protein VNG0692C 	526686	527156	+	156	15789878	1447488	-	VNG0692C	COG1668CP
NthB 	527209	527625	+	138	15789879	1447489	nthB	VNG0694G	COG1833S
hypothetical protein VNG0697H 	527663	527779	-	38	15789880	1447490	-	VNG0697H	-
hypothetical protein VNG0698H 	527835	528500	-	221	15789881	1447491	-	VNG0698H	COG0467T
YvgX 	528770	531343	+	857	15789882	1447492	yvgX	VNG0700G	COG2217P
hypothetical protein VNG0702H 	531405	531611	+	68	15789883	1447493	-	VNG0702H	-
hypothetical protein VNG0703H 	531750	532034	+	94	15789884	1447494	-	VNG0703H	-
hypothetical protein VNG0704C 	532038	532409	-	123	15789885	1447495	-	VNG0704C	COG1733K
hypothetical protein VNG0705C 	532495	534006	-	503	15789886	1447496	-	VNG0705C	COG3046R
hypothetical protein VNG0707C 	534180	534779	+	199	15789887	1447497	-	VNG0707C	COG1573L
hypothetical protein VNG0708H 	534840	535388	+	182	15789888	1447498	-	VNG0708H	-
hypothetical protein VNG0709C 	535522	536508	+	328	15789889	1447499	-	VNG0709C	COG0491R
hypothetical protein VNG0711C 	536584	537165	+	193	15789890	1447500	-	VNG0711C	COG1225O
hypothetical protein VNG0713C 	537212	537907	+	231	15789891	1447501	-	VNG0713C	COG4122R
thiamine biosynthesis protein ThiC 	537985	539415	+	476	15789892	1447502	thiC	VNG0715G	COG0422H
AfsQ2 	539412	541040	-	542	15789893	1447503	afsQ2	VNG0716G	COG0642T
hypothetical protein VNG0717H 	541134	541460	+	108	15789894	1447504	-	VNG0717H	-
hypothetical protein VNG0718C 	541473	542150	-	225	15789895	1447505	-	VNG0718C	COG0561R
AraL 	542178	543044	+	288	15789896	1447506	araL	VNG0719G	COG0647G
DNA damage-inducible protein 	543049	544518	-	489	15789897	1447507	dip2	VNG0720G	COG0534V
PepQ1 	544564	545673	-	369	15789898	1447508	pepQ1	VNG0723G	COG0006E
hypothetical protein VNG0724H 	545760	546020	+	86	15789899	1447509	-	VNG0724H	-
hypothetical protein VNG0725H 	546070	546978	+	302	15789900	1447510	-	VNG0725H	-
hypothetical protein VNG0726C 	546988	547578	-	196	15789901	1447511	-	VNG0726C	COG1309K
hypothetical protein VNG0727C 	547992	549476	+	494	15789902	1447512	-	VNG0727C	COG0534V
hypothetical protein VNG0729H 	549641	550258	+	205	15789903	1447513	-	VNG0729H	-
hypothetical protein VNG0730C 	550255	551166	-	303	15789904	1447514	-	VNG0730C	COG1893H
hypothetical protein VNG0731H 	551252	551722	+	156	15789905	1447515	-	VNG0731H	-
RNA 3'-terminal-phosphate cyclase 	551723	552859	-	378	15789906	1447516	tpc	VNG0732G	COG0430A
hypothetical protein VNG0733H 	552804	553373	+	189	15789907	1447517	-	VNG0733H	COG3358S
TfbB 	553409	554386	-	325	15789908	1447518	tfbB	VNG0734G	COG1405K
Hlx2 	554704	555291	+	195	15789909	1447519	hlx2	VNG0735G	COG2204T
KinA2 	555295	557208	+	637	15789910	1447520	kinA2	VNG0736G	COG0642T
hypothetical protein VNG0738H 	557214	557657	-	147	15789911	1447521	-	VNG0738H	-
hypothetical protein VNG0737H 	557749	557973	+	74	15789912	1447522	-	VNG0737H	-
hypothetical protein VNG0740C 	557985	558617	-	210	15789913	1447523	-	VNG0740C	COG1878R
hypothetical protein VNG0741H 	558704	559006	+	100	15789914	1447524	-	VNG0741H	-
hypothetical protein VNG0742H 	559020	559724	-	234	15789915	1447525	-	VNG0742H	COG4250T
hypothetical protein VNG0743H 	559752	560261	+	169	15789916	1447526	-	VNG0743H	COG0589T
hypothetical protein VNG0745G 	560272	562254	-	660	15789917	1447527	spoVR	VNG0745G	COG2719S
hypothetical protein VNG0746C 	562241	563569	-	442	15789918	1447528	-	VNG0746C	COG2718S
hypothetical protein VNG0748G 	563560	565773	-	737	15789919	1447529	prkA	VNG0748G	COG2766T
serine protein kinase 	565827	567884	-	685	15789920	1447530	prk	VNG0749G	COG2766T
hypothetical protein VNG0750C 	568228	568947	+	239	15789921	1447531	-	VNG0750C	COG1956T
hypothetical protein VNG0751C 	569022	569336	+	104	15789922	1447532	-	VNG0751C	COG1695K
GalE1 	569376	570320	-	314	15789923	1447533	galE1	VNG0752G	COG0451MG
YlnA 	570402	571580	-	392	15789924	1447534	ylnA	VNG0753G	COG0306P
hypothetical protein VNG0754C 	571614	572417	-	267	15789925	1447535	-	VNG0754C	-
tRNA 2'-O-methylase 	572416	573042	+	208	15789926	1447536	-	VNG0755C	COG1303S
TfeA 	573224	573769	+	181	15789927	1447537	tfeA	VNG0757G	COG1675K
hypothetical protein VNG0758C 	573769	574440	+	223	15789928	1447538	-	VNG0758C	COG4044S
hypothetical protein VNG0759H 	574437	575162	+	241	15789929	1447539	-	VNG0759H	-
Dip3 	575197	575892	+	231	15789930	1447540	dip3	VNG0761G	COG1058R
hypothetical protein VNG0762H 	575902	576015	-	37	15789931	1447541	-	VNG0762H	-
YbjG 	576121	576747	+	208	15789932	1447542	ybjG	VNG0763G	COG0671I
hypothetical protein VNG0764C 	576838	577914	+	358	15789933	1447543	-	VNG0764C	COG3199S
